"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 18 02:29:52 UTC 2023","Mon Sep 18 02:30:03 UTC 2023","10921","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","9. Complete Insurance Quote",""
"passed","Mon Sep 18 03:18:18 UTC 2023","Mon Sep 18 03:18:39 UTC 2023","20659","","11. Client Portal - Administration","","","","1. Direct user to “Administration” page",""
"passed","Mon Sep 18 02:48:51 UTC 2023","Mon Sep 18 02:48:58 UTC 2023","7448","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Mon Sep 18 04:15:24 UTC 2023","Mon Sep 18 04:15:40 UTC 2023","16019","","23. Change Portfolio for Interactive Brokers","","","","1. Log into user with IB access and direct user to “Your Account(s)” page",""
"passed","Mon Sep 18 02:29:48 UTC 2023","Mon Sep 18 02:29:52 UTC 2023","3423","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","7. Review Review Page",""
"passed","Mon Sep 18 02:19:40 UTC 2023","Mon Sep 18 02:19:40 UTC 2023","31","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","2.Disclaimer Alert is present",""
"passed","Mon Sep 18 02:35:07 UTC 2023","Mon Sep 18 02:35:08 UTC 2023","545","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Mon Sep 18 03:47:14 UTC 2023","Mon Sep 18 03:51:57 UTC 2023","282455","","18. Check Admin header","","","","2. Check Navbar",""
"passed","Mon Sep 18 03:33:17 UTC 2023","Mon Sep 18 03:33:30 UTC 2023","12944","","16. Nucleus Wealth Wordpress Site","","","","1. Visit Production Site",""
"passed","Mon Sep 18 04:03:36 UTC 2023","Mon Sep 18 04:04:03 UTC 2023","26565","","22. Individual Onboarding for Interactive Brokers","","","","5. Complete Risk Profile",""
"passed","Mon Sep 18 02:48:19 UTC 2023","Mon Sep 18 02:48:28 UTC 2023","8664","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","2. Create a Joint Account",""
"passed","Mon Sep 18 02:59:53 UTC 2023","Mon Sep 18 03:00:06 UTC 2023","12941","","6. Company Account","","","","4. Complete Build Your Portfolio",""
"passed","Mon Sep 18 03:14:45 UTC 2023","Mon Sep 18 03:14:46 UTC 2023","395","","10. Client Portal - Account Dashboard","","","","2. Overall asset summary panel",""
